training_seed,saved_episode,test_seed,method,reward,success_rate,mean_latency_ms,mean_energy_mJ
43,10,950079,CA-MADDPG-V2.2 Seed 43,-189.39947084007878,0.5,1339.5061014096148,28109.004699817062
43,10,950080,CA-MADDPG-V2.2 Seed 43,-282.3161440339995,0.41,1909.9247062247534,50974.30393074218
43,10,950081,CA-MADDPG-V2.2 Seed 43,-225.70506143474893,0.48,1679.037971615524,41043.174747742334
43,10,950082,CA-MADDPG-V2.2 Seed 43,-138.9013524077562,0.6,1487.506924868809,33229.56298413779
43,10,950083,CA-MADDPG-V2.2 Seed 43,-241.44660200095316,0.46,1543.6610737657986,35067.68989607413
43,10,950084,CA-MADDPG-V2.2 Seed 43,-179.80686118198642,0.52,1677.0193288792912,40410.24454623602
43,10,950085,CA-MADDPG-V2.2 Seed 43,-191.27487606947182,0.5,1506.973624053326,34576.49891831708
43,10,950086,CA-MADDPG-V2.2 Seed 43,-180.30071600801452,0.52,1452.2191819049012,34763.55743431903
43,10,950087,CA-MADDPG-V2.2 Seed 43,-196.7233707860305,0.52,1569.2291459910546,36052.59623513292
43,10,950088,CA-MADDPG-V2.2 Seed 43,-255.69079345564458,0.44,1704.9824290795564,39081.27017222285
43,10,950089,CA-MADDPG-V2.2 Seed 43,-135.11813829225352,0.62,1411.331934154837,34200.24480302095
43,10,950090,CA-MADDPG-V2.2 Seed 43,-231.66121812064696,0.45,2071.6899769241127,49109.71154848946
43,10,950091,CA-MADDPG-V2.2 Seed 43,-256.0762585883284,0.41,1686.045333375943,40250.61962718212
43,10,950092,CA-MADDPG-V2.2 Seed 43,-206.96329817054203,0.5,1583.3535288477076,39434.9974980267
43,10,950093,CA-MADDPG-V2.2 Seed 43,-222.74787152130978,0.5,1722.162148956795,40039.49210106104
43,10,950094,CA-MADDPG-V2.2 Seed 43,-184.15894576468645,0.53,1486.4157057276561,34959.320216877015
43,10,950095,CA-MADDPG-V2.2 Seed 43,-245.3809197415561,0.43,1511.119099059958,34450.17675356852
43,10,950096,CA-MADDPG-V2.2 Seed 43,-265.18028240707866,0.42,1640.9731402864188,29462.292191672277
43,10,950097,CA-MADDPG-V2.2 Seed 43,-247.42343964627344,0.43,2237.681369839357,53129.78574070586
43,10,950098,CA-MADDPG-V2.2 Seed 43,-187.26250343331134,0.55,1559.9239100503216,34107.98780493663
43,10,950099,CA-MADDPG-V2.2 Seed 43,-223.4016470102997,0.48,1822.1626990253626,39270.39735836954
44,10,950000,CA-MADDPG-V2.2 Seed 44,-234.33887249864958,0.46,1526.2439123387035,33316.661229024154
44,10,950001,CA-MADDPG-V2.2 Seed 44,-262.4054190118202,0.41,1599.8497167743947,31276.519459779756
44,10,950002,CA-MADDPG-V2.2 Seed 44,-189.72612128596347,0.5,1341.7175295904394,27380.529490256336
44,10,950003,CA-MADDPG-V2.2 Seed 44,-207.52630232488374,0.52,1677.6340794440682,32815.725778265034
44,10,950004,CA-MADDPG-V2.2 Seed 44,-213.92293825583334,0.51,1769.4925504463222,41433.02759390364
44,10,950005,CA-MADDPG-V2.2 Seed 44,-256.9091166027191,0.46,1809.8459340304776,45088.37289596546
44,10,950006,CA-MADDPG-V2.2 Seed 44,-221.89571537623044,0.51,1865.3830147109466,46462.622263836696
44,10,950007,CA-MADDPG-V2.2 Seed 44,-132.46757245770388,0.61,1371.5902040813799,30509.063650081065
44,10,950008,CA-MADDPG-V2.2 Seed 44,-263.55134466696734,0.42,1943.3090218260293,44822.91032352396
44,10,950009,CA-MADDPG-V2.2 Seed 44,-187.02669760534596,0.54,1711.4360955540687,40230.2968234997
44,10,950010,CA-MADDPG-V2.2 Seed 44,-183.83158647985735,0.56,1515.1523343169592,35022.37906666216
44,10,950011,CA-MADDPG-V2.2 Seed 44,-179.3771187290443,0.56,1631.289448499921,41298.91040005482
44,10,950012,CA-MADDPG-V2.2 Seed 44,-245.57490218453148,0.44,1728.7168835621678,38018.654169352936
44,10,950013,CA-MADDPG-V2.2 Seed 44,-218.22252724455396,0.47,1593.9206769428017,34480.97522693957
44,10,950014,CA-MADDPG-V2.2 Seed 44,-144.19786180738632,0.62,1557.111043383362,34356.99782996107
