method,selected_uav,resource_level,test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ
Fixed uav_U1 resource 0.98,uav_U1,0.98,950050,-263.2982706350051,0.44,2151.192205635413,49777.37494113449
Fixed uav_U1 resource 0.98,uav_U1,0.98,950051,-265.6697844766557,0.44,2047.3513768221892,43637.38338862658
Fixed uav_U1 resource 0.98,uav_U1,0.98,950052,-202.163567491839,0.55,1557.1496875460937,32902.68454624875
Fixed uav_U1 resource 0.98,uav_U1,0.98,950053,-267.1042936031899,0.45,1967.5976944167542,51422.226519792166
Fixed uav_U1 resource 0.98,uav_U1,0.98,950054,-228.0316385634034,0.49,1820.8343911452941,36412.44932885229
Fixed uav_U1 resource 0.98,uav_U1,0.98,950055,-242.5047155776375,0.46,1753.10637187624,43073.31302653484
Fixed uav_U1 resource 0.98,uav_U1,0.98,950056,-227.82663631090847,0.48,1730.218204312709,38638.70690898018
Fixed uav_U1 resource 0.98,uav_U1,0.98,950057,-179.651434507483,0.58,1606.2216269531327,35912.39853678244
Fixed uav_U1 resource 0.98,uav_U1,0.98,950058,-276.86079040490637,0.44,2068.312709035161,53160.672414522654
Fixed uav_U1 resource 0.98,uav_U1,0.98,950059,-198.6902437617838,0.52,1827.3558883818964,38084.09594046924
Fixed uav_U1 resource 0.98,uav_U1,0.98,950060,-202.40627402531086,0.53,1679.6096844076008,35981.86993163344
Fixed uav_U1 resource 0.98,uav_U1,0.98,950061,-217.90925296838287,0.5,1764.498867142674,41886.86520604624
Fixed uav_U1 resource 0.98,uav_U1,0.98,950062,-197.90223372930686,0.52,1556.8506941987673,35174.00301115787
Fixed uav_U1 resource 0.98,uav_U1,0.98,950063,-281.2157665219038,0.41,2180.6356894044407,57226.037043135686
Fixed uav_U1 resource 0.98,uav_U1,0.98,950064,-239.1431628219246,0.47,1723.197677736438,38505.38096366197
Fixed uav_U1 resource 0.98,uav_U1,0.98,950065,-227.47978409958858,0.47,1608.1377058602613,34691.573455305464
Fixed uav_U1 resource 0.98,uav_U1,0.98,950066,-197.79557647412668,0.51,1646.831545974893,38861.38249089182
Fixed uav_U1 resource 0.98,uav_U1,0.98,950067,-252.37660447434848,0.45,1905.9151084048883,40854.63661887308
Fixed uav_U1 resource 0.98,uav_U1,0.98,950068,-266.9530570722889,0.41,2348.6037991110334,54562.35796844248
Fixed uav_U1 resource 0.98,uav_U1,0.98,950069,-167.7230185179083,0.56,1532.5426912339417,35666.7047657344
Fixed uav_U1 resource 0.98,uav_U1,0.98,950070,-216.98261553145852,0.49,1718.6196658644046,36769.76241613788
Fixed uav_U1 resource 0.98,uav_U1,0.98,950071,-137.56692183982443,0.6,1315.1317828163685,28312.043618154592
Fixed uav_U1 resource 0.98,uav_U1,0.98,950072,-220.4935568819979,0.5,1818.6684854048724,42473.51793650332
Fixed uav_U1 resource 0.98,uav_U1,0.98,950073,-226.39407454307067,0.47,1853.7152978002089,36294.09046675246
Fixed uav_U1 resource 0.98,uav_U1,0.98,950074,-153.9005571651837,0.61,1517.0490555681906,33312.49969432353
Fixed uav_U1 resource 0.98,uav_U1,0.98,950075,-183.13329225819726,0.56,1527.3591722456094,35080.49224578324
Fixed uav_U1 resource 0.98,uav_U1,0.98,950076,-210.88066813592982,0.49,1483.0683486378093,32191.666802862856
Fixed uav_U1 resource 0.98,uav_U1,0.98,950077,-196.9453226440035,0.52,1633.7897271702075,37876.57635043805
Fixed uav_U1 resource 0.98,uav_U1,0.98,950078,-248.96650174973752,0.45,1806.4538165080878,41796.51773409981
Fixed uav_U1 resource 0.98,uav_U1,0.98,950079,-196.7961610165509,0.49,1370.596359877456,28330.24160731409
Fixed uav_U1 resource 0.98,uav_U1,0.98,950080,-284.1595758302853,0.42,1970.3981527464102,51539.39925434863
Fixed uav_U1 resource 0.98,uav_U1,0.98,950081,-232.53502753129231,0.47,1706.3890711212616,40561.89593565999
Fixed uav_U1 resource 0.98,uav_U1,0.98,950082,-148.2709404827981,0.59,1522.2427170880246,33363.423670322394
Fixed uav_U1 resource 0.98,uav_U1,0.98,950083,-243.59711957662645,0.46,1570.5654277072854,34962.32259746417
Fixed uav_U1 resource 0.98,uav_U1,0.98,950084,-184.99745846722107,0.52,1712.4487471282953,40322.86452898655
Fixed uav_U1 resource 0.98,uav_U1,0.98,950085,-192.35458599602177,0.5,1518.5769249355724,34109.44512257949
Fixed uav_U1 resource 0.98,uav_U1,0.98,950086,-185.86037873009715,0.51,1471.000207828586,34448.36373320341
Fixed uav_U1 resource 0.98,uav_U1,0.98,950087,-201.46450433006936,0.52,1616.0945414518328,36666.40241298205
Fixed uav_U1 resource 0.98,uav_U1,0.98,950088,-258.0069661079342,0.44,1732.833921795793,39117.94199515145
Fixed uav_U1 resource 0.98,uav_U1,0.98,950089,-144.38132659298006,0.61,1448.3106319727594,34388.91367329289
Fixed uav_U1 resource 0.98,uav_U1,0.98,950090,-240.0783082502888,0.44,2113.5192688746306,48829.12530207691
Fixed uav_U1 resource 0.98,uav_U1,0.98,950091,-257.89324467559845,0.42,1730.5425735669303,40484.527583624746
Fixed uav_U1 resource 0.98,uav_U1,0.98,950092,-211.31555206735413,0.5,1624.9218427965511,39609.896566871335
Fixed uav_U1 resource 0.98,uav_U1,0.98,950093,-226.8758308196603,0.5,1772.2448691279437,40606.41872998155
Fixed uav_U1 resource 0.98,uav_U1,0.98,950094,-197.77727434725216,0.5,1516.3882626359173,34882.50944250796
Fixed uav_U1 resource 0.98,uav_U1,0.98,950095,-256.3738484606154,0.41,1537.408512036597,34274.2830169718
Fixed uav_U1 resource 0.98,uav_U1,0.98,950096,-272.0163352679508,0.41,1664.8391278048812,29393.598332491867
Fixed uav_U1 resource 0.98,uav_U1,0.98,950097,-257.1554134631184,0.42,2270.884846159888,52526.04480585695
Fixed uav_U1 resource 0.98,uav_U1,0.98,950098,-195.18550412004134,0.54,1598.9251635685919,34337.74307196006
Fixed uav_U1 resource 0.98,uav_U1,0.98,950099,-227.77627475125877,0.48,1851.9765697465957,39168.67376060285
Fixed uav_U2 resource 0.98,uav_U2,0.98,950000,-269.5747236873807,0.41,1729.5110421000304,42881.611825464686
Fixed uav_U2 resource 0.98,uav_U2,0.98,950001,-288.966805957822,0.38,1790.7130435500835,40250.530432817286
Fixed uav_U2 resource 0.98,uav_U2,0.98,950002,-203.37643290544088,0.5,1508.7484115388645,35238.3415496855
Fixed uav_U2 resource 0.98,uav_U2,0.98,950003,-231.1541583066401,0.49,1877.6992536220066,42231.703580402565
Fixed uav_U2 resource 0.98,uav_U2,0.98,950004,-243.31893286612183,0.47,2022.5431066813326,53332.407069316236
Fixed uav_U2 resource 0.98,uav_U2,0.98,950005,-282.58700208777685,0.43,2085.220769766509,58041.13212662633
Fixed uav_U2 resource 0.98,uav_U2,0.98,950006,-252.5510521508103,0.47,2149.0912171347895,59809.94277602846
Fixed uav_U2 resource 0.98,uav_U2,0.98,950007,-162.35741315475448,0.57,1557.9187107911366,39268.94143027963
Fixed uav_U2 resource 0.98,uav_U2,0.98,950008,-287.47815485486535,0.39,2216.830514819654,57695.710599927064
Fixed uav_U2 resource 0.98,uav_U2,0.98,950009,-209.238395517905,0.52,1957.430821050852,51784.83466275534
Fixed uav_U2 resource 0.98,uav_U2,0.98,950010,-217.78418059393152,0.51,1728.932504931424,45079.58920546467
Fixed uav_U2 resource 0.98,uav_U2,0.98,950011,-222.46801318352908,0.49,1883.4713478787771,53163.319845569684
Fixed uav_U2 resource 0.98,uav_U2,0.98,950012,-268.87303316219015,0.42,1960.6300997627463,48933.438154443305
