test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,training_seed,saved_episode
950038,-157.3788939071702,0.58,1343.7059767813137,32302.51702552425,43,30
950039,-186.92489068652364,0.51,1479.4793811417885,32778.287832165195,43,30
950040,-155.82571069324914,0.57,1495.802781762888,32456.40319942846,43,30
950041,-254.35336726072538,0.43,1864.8518439359875,44269.83304980377,43,30
950042,-212.83887208901925,0.5,1671.4963878080932,39534.05928287327,43,30
950043,-163.62474947731212,0.56,1610.418306414853,36801.756726379615,43,30
950044,-174.00639114512387,0.55,1424.2265141878174,33416.08073848934,43,30
950045,-214.36704945562053,0.49,1601.0402970838331,42175.040737976844,43,30
950046,-218.35080872399817,0.49,1636.181767790836,39409.11670243007,43,30
950047,-237.7534920201346,0.46,1522.9103629240892,29274.50088222092,43,30
950048,-258.2123245796046,0.45,2015.2843022172362,50526.93965949221,43,30
950049,-236.840574568808,0.44,1859.4453899905225,41626.51690235711,43,30
950050,-256.9230321356831,0.45,2108.3166495467326,51822.495448703114,43,30
950051,-259.4578331073662,0.45,2006.5267702856772,45429.179307261285,43,30
950052,-196.1280551646483,0.56,1526.1009039719054,34253.45081850588,43,30
950053,-264.96967819006244,0.45,1928.3317379128825,53536.454161200934,43,30
950054,-221.95790603281128,0.5,1784.5099941526032,37906.81150252799,43,30
950055,-240.07985920622548,0.46,1718.093139209271,44843.70612696987,43,30
950056,-221.44132787964867,0.49,1695.7375242177375,40225.669992266485,43,30
950057,-173.62601951512792,0.59,1574.1830942743693,37387.33299835147,43,30
950058,-274.7101780129199,0.44,2027.040326461906,55346.16625705083,43,30
950059,-196.66260301898288,0.52,1790.8974753283976,39647.59246325408,43,30
950060,-200.42458164499462,0.53,1646.1112726434358,37459.44667025241,43,30
950061,-211.25651297966968,0.51,1729.258183690397,43608.05399605888,43,30
950062,-191.7691750044728,0.53,1525.8215631626742,36618.74372874964,43,30
950063,-278.77162994059523,0.41,2137.0935283599656,59579.1614006122,43,30
950064,-236.70445918759984,0.47,1688.7848196973935,40086.974535043046,43,30
950065,-224.88091080283775,0.47,1576.0962170839055,36116.24283778246,43,30
950066,-195.36831306789432,0.51,1613.9962790058466,40458.02478763649,43,30
950067,-242.3380365876819,0.47,1867.9486058662087,42532.19784614945,43,30
950068,-256.64443137024307,0.43,2301.7794553232725,56804.19529228613,43,30
950069,-165.39425581168922,0.56,1501.9529914884092,37132.049977021605,43,30
950070,-214.83245209226655,0.49,1684.3620683582494,38279.55830980993,43,30
950071,-135.71970385729304,0.6,1288.87955095139,29474.62814118176,43,30
950072,-218.4878606271283,0.5,1782.3653792012192,44218.38133850663,43,30
950073,-224.1125060936775,0.47,1816.7436075775847,37783.31799082827,43,30
950074,-152.14998860007978,0.61,1486.8141748309106,34680.51085524243,43,30
950075,-176.79867822465354,0.57,1496.8916988854555,36521.459439186285,43,30
950076,-204.45321901437933,0.5,1453.5239174333367,33513.52498684119,43,30
950077,-194.65227146171796,0.52,1601.1845756013947,39432.66050582047,43,30
950078,-242.29935370064473,0.46,1770.4452086983451,43513.51995860641,43,30
950079,-194.54509575051378,0.49,1343.2342880471479,29493.122315315286,43,30
950080,-281.8227285299937,0.42,1931.072834471598,53658.46314177231,43,30
950081,-226.21006856342854,0.48,1672.36058304468,42228.54410572988,43,30
950082,-142.09010355238016,0.6,1491.855094027638,34733.5324233506,43,30
950083,-241.3503514619505,0.46,1539.2139283839433,36398.22833314145,43,30
950084,-178.8476243386393,0.53,1678.3060031206107,41979.624031308536,43,30
950085,-186.08422073503777,0.51,1488.3275760501067,35510.36926264988,43,30
950086,-179.67265337739573,0.52,1441.693395584888,35863.587390965105,43,30
950087,-199.5788200620094,0.52,1583.8255424043773,38172.55015199389,43,30
950088,-255.53447986834632,0.44,1698.2546934359923,40724.60866428868,43,30
950089,-138.3206783109925,0.62,1419.4177419417504,35801.77604638878,43,30
950090,-229.86728094177695,0.46,2071.388115966046,50835.26912615059,43,30
