test_seed,reward,success_rate,mean_latency_ms,mean_energy_mJ,method,saved_episode
950080,-294.43641242247065,0.41,2549.081040154123,82348.45871019135,CA-MADDPG Seed 42 final,30
950081,-242.7448335632648,0.44,2245.373041293157,55370.152420934246,CA-MADDPG Seed 42 final,30
950082,-203.46920819393668,0.48,2062.1164456131314,51022.390835285514,CA-MADDPG Seed 42 final,30
950083,-257.86788249639534,0.43,2628.573060952172,41434.44293327748,CA-MADDPG Seed 42 final,30
950084,-199.83493598084348,0.47,1984.2299565323888,56755.15822503822,CA-MADDPG Seed 42 final,30
950085,-190.0999687933689,0.49,1752.9217002971077,48141.26596948771,CA-MADDPG Seed 42 final,30
950086,-189.31697446034036,0.5,1711.7788676476273,44937.990452287675,CA-MADDPG Seed 42 final,30
950087,-248.16427075772148,0.43,2065.6555273624717,61022.787141985704,CA-MADDPG Seed 42 final,30
950088,-272.89486195926014,0.42,2425.860803547648,47042.52719793117,CA-MADDPG Seed 42 final,30
950089,-179.3413514250478,0.53,1813.807330477676,55267.24142985728,CA-MADDPG Seed 42 final,30
950090,-247.01871032660253,0.42,2552.13032848936,74817.73980003054,CA-MADDPG Seed 42 final,30
950091,-271.08126688029176,0.4,2177.27770183331,65491.3489648296,CA-MADDPG Seed 42 final,30
950092,-232.37123282233142,0.45,2009.3732611087576,58828.39191377703,CA-MADDPG Seed 42 final,30
950093,-287.0349077137981,0.39,2224.316860373515,65884.14285379872,CA-MADDPG Seed 42 final,30
950094,-213.60873056254533,0.47,1610.215122930011,40998.7719449409,CA-MADDPG Seed 42 final,30
950095,-277.6285375639355,0.37,2116.8413322631627,42046.95900579372,CA-MADDPG Seed 42 final,30
950096,-298.70412627678513,0.37,2009.4341926181246,40527.40566068547,CA-MADDPG Seed 42 final,30
950097,-263.57066330956025,0.4,2717.0543318941886,78880.24886441766,CA-MADDPG Seed 42 final,30
950098,-212.0978557994311,0.5,1907.8618176633986,49748.909265545466,CA-MADDPG Seed 42 final,30
950099,-239.0325806181945,0.45,2249.6935510461262,60993.09163454086,CA-MADDPG Seed 42 final,30
950000,-232.07552588994835,0.46,1495.7540501844308,34684.82710812998,MADDPG Seed 42 baseline,30
950001,-247.5615150781671,0.44,1568.037920216736,32559.805118404565,MADDPG Seed 42 baseline,30
950002,-187.5389232807201,0.5,1314.9555888329514,28504.30695591513,MADDPG Seed 42 baseline,30
950003,-205.31637304558816,0.52,1644.0817522864425,34162.211455668155,MADDPG Seed 42 baseline,30
950004,-211.9734751792743,0.51,1734.3125745725893,43135.420357529685,MADDPG Seed 42 baseline,30
950005,-254.50364116395525,0.46,1773.8011856030762,46941.71304722796,MADDPG Seed 42 baseline,30
950006,-219.7840986761959,0.51,1828.177604576373,48372.3949165699,MADDPG Seed 42 baseline,30
950007,-130.25236523251775,0.61,1344.3566607100884,31762.153498484982,MADDPG Seed 42 baseline,30
950008,-261.475301839636,0.42,1904.4430088182007,46664.53734658582,MADDPG Seed 42 baseline,30
950009,-184.8804144249324,0.54,1677.6828078044157,41883.41883249262,MADDPG Seed 42 baseline,30
950010,-177.58220023859715,0.57,1484.9336934758535,36461.13736214011,MADDPG Seed 42 baseline,30
950011,-177.21617714088916,0.56,1598.7478761077343,42996.53472136003,MADDPG Seed 42 baseline,30
950012,-238.9439956684504,0.45,1694.1428077413975,39579.88649570066,MADDPG Seed 42 baseline,30
950013,-211.91246172336025,0.48,1562.2633713708074,35896.87828564568,MADDPG Seed 42 baseline,30
950014,-142.45449787642428,0.62,1525.969035540439,35768.043160276604,MADDPG Seed 42 baseline,30
950015,-219.4401603151388,0.51,1662.7769801107167,41899.78085876438,MADDPG Seed 42 baseline,30
950016,-235.04983921830723,0.46,1562.5211430343666,32494.56033678409,MADDPG Seed 42 baseline,30
950017,-255.05961868524813,0.43,1965.550866530992,46043.67457798479,MADDPG Seed 42 baseline,30
950018,-198.8853316939804,0.51,1416.7252315258831,31703.84492589124,MADDPG Seed 42 baseline,30
950019,-205.69971238546523,0.52,1720.1838017783314,43172.878507976646,MADDPG Seed 42 baseline,30
950020,-181.9691340683789,0.51,1293.0367629786117,30315.033845752747,MADDPG Seed 42 baseline,30
950021,-186.07446030066853,0.53,1456.249936960916,32938.967279002434,MADDPG Seed 42 baseline,30
950022,-181.5691951065436,0.55,1492.8265778679922,30947.048165166107,MADDPG Seed 42 baseline,30
950023,-205.86682911154512,0.49,1999.0544549650792,49789.10924821886,MADDPG Seed 42 baseline,30
950024,-193.18187121759829,0.53,1562.7852987430074,34244.30415047619,MADDPG Seed 42 baseline,30
950025,-240.49912614052167,0.46,1720.165668005198,42902.62526348216,MADDPG Seed 42 baseline,30
950026,-259.4189739729608,0.45,1838.5517134814977,47047.41204160772,MADDPG Seed 42 baseline,30
950027,-240.951600594394,0.46,1610.8688499785408,33905.726787206986,MADDPG Seed 42 baseline,30
950028,-240.4578303885579,0.45,1844.112728492039,44541.87489847181,MADDPG Seed 42 baseline,30
