training_seed,saved_episode,test_seed,selected_agent,success,reward,latency_ms,energy_mJ,selection_entropy,selection_gap,selected_cpu,selected_bandwidth
42,10,950000,uav_U1,0,-4.3838090378030845,1717.9503045562922,28100.98345824715,0.004562515976757348,0.9984679818153381,0.9956876039505005,0.9655585885047913
42,10,950000,uav_U1,0,-4.161224300126664,2581.4005871381078,104609.29305636193,0.01024079403715082,0.9957691431045532,0.9967532157897949,0.9854869246482849
42,10,950000,uav_U1,1,1.132818158921577,595.787173081324,12123.057311505028,0.009978755233448747,0.9956279993057251,0.9973912239074707,0.9825623035430908
42,10,950000,uav_U1,0,-3.8054258357299515,1122.5873497172001,21357.261554481443,0.007915125029901878,0.996996283531189,0.997381329536438,0.987697958946228
42,10,950000,uav_U1,0,-5.246192424345721,2152.943015724002,68731.06918766027,0.005638787802313868,0.9980893731117249,0.9979003667831421,0.9853790402412415
42,10,950000,uav_U1,1,1.1294224985962829,163.3842652190146,6067.455667930834,0.008761771733245969,0.9965474605560303,0.9981170892715454,0.9840190410614014
42,10,950000,uav_U1,1,1.3422089155524433,290.6392933462166,3419.8702225675734,0.005281435245378072,0.9981265068054199,0.9972875118255615,0.9846077561378479
42,10,950000,uav_U1,1,1.315210762996314,261.16234792244103,5887.310405389716,0.011610326784419743,0.994933009147644,0.9973645210266113,0.9864838123321533
42,10,950000,uav_U1,1,1.2708204297520844,353.48239973382573,8159.751008038401,0.008495703616787314,0.996688723564148,0.9980646371841431,0.9841043949127197
42,10,950000,uav_U1,0,-3.935519590618702,2074.193667460983,83645.30334653599,0.010359210208175202,0.9956871271133423,0.9971981644630432,0.9843069911003113
42,10,950000,uav_U1,1,1.2759841375937764,11.20056350938091,254.5107864484476,0.006800700118316876,0.9975417852401733,0.9981274604797363,0.984857439994812
42,10,950000,uav_U1,0,-3.6587918145405425,727.6633767042308,7468.2821571332315,0.007152307608158263,0.9973596334457397,0.9974700212478638,0.9859095811843872
42,10,950000,uav_U1,0,-7.500091704621167,2027.5679662242703,32536.168572269442,0.0043865156602647115,0.9985859394073486,0.9964373111724854,0.9635370969772339
42,10,950000,uav_U1,0,-6.746979591483238,6009.347051953977,137540.48509722154,0.004838984589925779,0.9982893466949463,0.9948107004165649,0.9463716745376587
42,10,950000,uav_U1,0,-4.032532984493659,980.7624957255741,38197.6105873296,0.00878920357923844,0.9965848326683044,0.9978865385055542,0.986564040184021
42,10,950000,uav_U1,1,0.9587236946314002,577.9852875459642,21617.568221851026,0.00985022412030264,0.9961156845092773,0.997825026512146,0.9883784055709839
42,10,950000,uav_U1,0,-6.455861640818268,4410.683490958577,69210.55219168347,0.0045417424871791396,0.9984800219535828,0.996508002281189,0.9700551629066467
42,10,950000,uav_U1,0,-7.500091569733888,2184.7284845610616,72919.84389103869,0.013135829771255837,0.9940839409828186,0.9976058006286621,0.987966001033783
42,10,950000,uav_U1,1,1.2955511184581499,218.45760631631975,3516.0700669167363,0.0060708270404135,0.9978564381599426,0.9973700046539307,0.9836863279342651
42,10,950000,uav_U1,1,0.7433243173862754,767.9327060043289,14276.768331620759,0.010719013842736463,0.9953551292419434,0.9971294403076172,0.9872713088989258
42,10,950000,uav_U1,1,1.3274722858021761,343.14765963815734,7882.658582297019,0.006551898751665342,0.9976826310157776,0.9973770976066589,0.9822149872779846
42,10,950000,uav_U1,0,-4.7539872499759905,2551.409787631671,42527.76204113977,0.004574089431406704,0.9985021948814392,0.9962600469589233,0.9583186507225037
42,10,950000,uav_U1,0,-3.5941404920197098,1893.7984879144221,27691.53061418672,0.0043916677768972515,0.9985694289207458,0.9959651231765747,0.9712989330291748
42,10,950000,uav_U1,0,-4.473108602779075,3095.6637905659786,69129.07027995103,0.005309889587119252,0.9981133937835693,0.996570348739624,0.9732972383499146
42,10,950000,uav_U1,1,1.134197261105632,446.89833291281224,5829.103443456004,0.0075671140717841956,0.9971411228179932,0.9975582361221313,0.9848203659057617
42,10,950000,uav_U1,0,-5.306434208821777,954.1565075138672,42619.37822285899,0.008543963960040677,0.99688321352005,0.9978611469268799,0.9872937202453613
42,10,950000,uav_U1,1,1.2476697812551565,437.1294117800425,12053.109746733497,0.005972803349871092,0.9979296326637268,0.9977391958236694,0.985222578048706
42,10,950000,uav_U1,1,1.4996247883256917,3.706197544569028,53.71509150432626,0.007125403997706858,0.9972460269927979,0.9967394471168518,0.9819802641868591
42,10,950000,uav_U1,0,-3.736962353380905,270.87465481250746,5224.777174390424,0.007171742307812331,0.9971951842308044,0.9974205493927002,0.981536865234375
42,10,950000,uav_U1,0,-5.4187681016238365,2495.4684741176748,76156.23374670783,0.006030507622411091,0.9978383183479309,0.9971176385879517,0.9613853693008423
42,10,950000,uav_U1,0,-4.4041403417965,689.2656164807428,22166.63500721359,0.009173348922323764,0.9962056279182434,0.9980887174606323,0.9849474430084229
42,10,950000,uav_U1,1,1.2911445186403454,299.7846694924145,6770.58921378501,0.007614033198303888,0.9969974160194397,0.9978440999984741,0.9835411906242371
42,10,950000,uav_U1,0,-7.5000917534169425,2218.3011708248378,35992.220733077425,0.013652813005466799,0.9935094714164734,0.9973199367523193,0.9867496490478516
42,10,950000,uav_U1,1,0.5159447531492636,535.276215336521,17676.869282021733,0.00931585279580805,0.9960982203483582,0.9978821277618408,0.9846674203872681
